study_period,subject,femaleID,kin
m20,Mei,Coc,0
m20,Mei,Har,0
m20,Mei,Hen,0
m20,Mei,Hot,0
m20,Mei,Kil,0
m20,Mei,Kit,0
m20,Mei,Koh,0
m20,Mei,Kol,0
m20,Mei,Kun,0
m20,Mei,Kur,0
m20,Mei,Mal,0.125
m20,Mei,Mif,0.125
m20,Mei,Mik,0.25
m20,Mei,Ntm,0
m20,Mei,Ntr,0
m20,Mei,Tam,0
m20,Mei,Ten,0
m20,Mei,Tot,0
m20,Mei,Trt,0
m20,Mif,Aka,0
m20,Mif,Ako,0
m20,Mif,Anz,0
m20,Mif,Coc,0
m20,Mif,Har,0
m20,Mif,Hen,0
m20,Mif,Hot,0
m20,Mif,Kil,0
m20,Mif,Kit,0
m20,Mif,Koh,0
m20,Mif,Kol,0
m20,Mif,Kun,0
m20,Mif,Kur,0
m20,Mif,Mal,0.25
m20,Mif,Mei,0.125
m20,Mif,Mik,0.5
m20,Mif,Ntm,0
m20,Mif,Ntr,0
m20,Mif,Tam,0
m20,Mif,Ten,0
m20,Mif,Tot,0
m20,Mif,Trt,0
m20,Mik,Aka,0
m20,Mik,Ako,0
m20,Mik,Anz,0
m20,Mik,Coc,0
m20,Mik,Har,0
m20,Mik,Hen,0
m20,Mik,Hot,0
m20,Mik,Kil,0
m20,Mik,Kit,0
m20,Mik,Koh,0
m20,Mik,Kol,0
m20,Mik,Kun,0
m20,Mik,Kur,0
m20,Mik,Mal,0.5
m20,Mik,Mei,0.25
m20,Mik,Mif,0.5
m20,Mik,Ntm,0
m20,Mik,Ntr,0
m20,Mik,Tam,0
m20,Mik,Ten,0
m20,Mik,Tot,0
m20,Mik,Trt,0
m20,Ntr,Aka,0
m20,Ntr,Ako,0
m20,Ntr,Anz,0
m20,Ntr,Coc,0
m20,Ntr,Har,0
m20,Ntr,Hen,0
m20,Ntr,Hot,0
m20,Ntr,Kil,0
m20,Ntr,Kit,0
m20,Ntr,Koh,0
m20,Ntr,Kol,0
m20,Ntr,Kun,0
m20,Ntr,Kur,0
m20,Ntr,Mal,0
m20,Ntr,Mei,0
m20,Ntr,Mif,0
m20,Ntr,Mik,0
m20,Ntr,Ntm,0.5
m20,Ntr,Tam,0
m20,Ntr,Ten,0
m20,Ntr,Tot,0
m20,Ntr,Trt,0
m20,Tam,Aka,0
m20,Tam,Ako,0
m20,Tam,Anz,0
m20,Tam,Coc,0
m20,Tam,Har,0
m20,Tam,Hen,0
m20,Tam,Hot,0
m20,Tam,Kil,0
m20,Tam,Kit,0
m20,Tam,Koh,0
m20,Tam,Kol,0
m20,Tam,Kun,0
m20,Tam,Kur,0
m20,Tam,Mal,0
m20,Tam,Mei,0
m20,Tam,Mif,0
m20,Tam,Mik,0
m20,Tam,Ntm,0
m20,Tam,Ntr,0
m20,Tam,Ten,0
m20,Tam,Tot,0.25
m20,Tam,Trt,0.0625
m20,Ten,Aka,0
m20,Ten,Ako,0
m20,Ten,Anz,0
m20,Ten,Coc,0
m20,Ten,Har,0
m20,Ten,Hen,0
m20,Ten,Hot,0
m20,Ten,Kil,0
m20,Ten,Kit,0
m20,Ten,Koh,0
m20,Ten,Kol,0
m20,Ten,Kun,0
m20,Ten,Kur,0
m20,Ten,Mal,0
m20,Ten,Mei,0
m20,Ten,Mif,0
m20,Ten,Mik,0
m20,Ten,Ntm,0
m20,Ten,Ntr,0
m20,Ten,Tam,0
m20,Ten,Tot,0
m20,Ten,Trt,0
m20,Tot,Aka,0
m20,Tot,Ako,0
m20,Tot,Anz,0
m20,Tot,Coc,0
m20,Tot,Har,0
m20,Tot,Hen,0
m20,Tot,Hot,0
m20,Tot,Kil,0
m20,Tot,Kit,0
m20,Tot,Koh,0
m20,Tot,Kol,0
m20,Tot,Kun,0
m20,Tot,Kur,0
m20,Tot,Mal,0
m20,Tot,Mei,0
m20,Tot,Mif,0
m20,Tot,Mik,0
m20,Tot,Ntm,0
m20,Tot,Ntr,0
m20,Tot,Tam,0.25
m20,Tot,Ten,0
m20,Tot,Trt,0.0625
m21,Aka,Ako,0.25
m21,Aka,Anz,0.5
m21,Aka,Coc,0
m21,Aka,Har,0
m21,Aka,Hen,0
m21,Aka,Hot,0
m21,Aka,Kil,0
m21,Aka,Kit,0
m21,Aka,Koh,0
m21,Aka,Kol,0
m21,Aka,Kun,0
m21,Aka,Kur,0
m21,Aka,Mal,0
m21,Aka,Mei,0
m21,Aka,Mif,0
m21,Aka,Mik,0
m21,Aka,Ntm,0
m21,Aka,Ntr,0
m21,Aka,Tam,0
m21,Aka,Ten,0
m21,Aka,Tot,0
m21,Aka,Trt,0
m21,Ako,Aka,0.25
m21,Ako,Anz,0.125
m21,Ako,Coc,0
m21,Ako,Har,0
m21,Ako,Hen,0
m21,Ako,Hot,0
m21,Ako,Kil,0
m21,Ako,Kit,0
m21,Ako,Koh,0
m21,Ako,Kol,0
m21,Ako,Kun,0
m21,Ako,Kur,0
m21,Ako,Mal,0
m21,Ako,Mei,0
m21,Ako,Mif,0
m21,Ako,Mik,0
m21,Ako,Ntm,0
m21,Ako,Ntr,0
m21,Ako,Tam,0
m21,Ako,Ten,0
m21,Ako,Tot,0
m21,Ako,Trt,0
m21,Hen,Aka,0
m21,Hen,Ako,0
m21,Hen,Anz,0
m21,Hen,Coc,0
m21,Hen,Har,0
m21,Hen,Hot,0
m21,Hen,Kil,0
m21,Hen,Kit,0
m21,Hen,Koh,0
m21,Hen,Kol,0
m21,Hen,Kun,0
m21,Hen,Kur,0
m21,Hen,Mal,0
m21,Hen,Mei,0
m21,Hen,Mif,0
m21,Hen,Mik,0
m21,Hen,Ntm,0
m21,Hen,Ntr,0
m21,Hen,Tam,0
m21,Hen,Ten,0
m21,Hen,Tot,0
m21,Hen,Trt,0
m21,Hot,Aka,0
m21,Hot,Ako,0
m21,Hot,Anz,0
m21,Hot,Coc,0
m21,Hot,Har,0.5
m21,Hot,Hen,0
m21,Hot,Kil,0
m21,Hot,Kit,0
m21,Hot,Koh,0
m21,Hot,Kol,0
m21,Hot,Kun,0
m21,Hot,Kur,0
m21,Hot,Mal,0
m21,Hot,Mei,0
m21,Hot,Mif,0
m21,Hot,Mik,0
m21,Hot,Ntm,0
m21,Hot,Ntr,0
m21,Hot,Tam,0
m21,Hot,Ten,0
m21,Hot,Tot,0
m21,Hot,Trt,0
m21,Kil,Aka,0
m21,Kil,Ako,0
m21,Kil,Anz,0
m21,Kil,Coc,0.125
m21,Kil,Har,0
m21,Kil,Hen,0
m21,Kil,Hot,0
m21,Kil,Kit,0.5
m21,Kil,Koh,0.25
m21,Kil,Kol,0.125
m21,Kil,Kun,0.125
m21,Kil,Kur,0.25
m21,Kil,Mal,0
m21,Kil,Mei,0
m21,Kil,Mif,0
m21,Kil,Mik,0
m21,Kil,Ntm,0
m21,Kil,Ntr,0
m21,Kil,Tam,0
m21,Kil,Ten,0
m21,Kil,Tot,0
m21,Kil,Trt,0
m21,Kit,Aka,0
m21,Kit,Ako,0
m21,Kit,Anz,0
m21,Kit,Coc,0.0625
m21,Kit,Har,0
m21,Kit,Hen,0
m21,Kit,Hot,0
m21,Kit,Kil,0.5
m21,Kit,Koh,0.125
m21,Kit,Kol,0.0625
m21,Kit,Kun,0.0625
m21,Kit,Kur,0.125
m21,Kit,Mal,0
m21,Kit,Mei,0
m21,Kit,Mif,0
m21,Kit,Mik,0
m21,Kit,Ntm,0
m21,Kit,Ntr,0
m21,Kit,Tam,0
m21,Kit,Ten,0
m21,Kit,Tot,0
m21,Kit,Trt,0
m21,Koh,Aka,0
m21,Koh,Ako,0
m21,Koh,Anz,0
m21,Koh,Coc,0.5
m21,Koh,Har,0
m21,Koh,Hen,0
m21,Koh,Hot,0
m21,Koh,Kil,0.25
m21,Koh,Kit,0.125
m21,Koh,Kol,0.125
m21,Koh,Kun,0.125
m21,Koh,Kur,0.25
m21,Koh,Mal,0
m21,Koh,Mei,0
m21,Koh,Mif,0
m21,Koh,Mik,0
m21,Koh,Ntm,0
m21,Koh,Ntr,0
m21,Koh,Tam,0
m21,Koh,Ten,0
m21,Koh,Tot,0
m21,Koh,Trt,0
m21,Kol,Aka,0
m21,Kol,Ako,0
m21,Kol,Anz,0
m21,Kol,Coc,0.0625
m21,Kol,Har,0
m21,Kol,Hen,0
m21,Kol,Hot,0
m21,Kol,Kil,0.125
m21,Kol,Kit,0.0625
m21,Kol,Koh,0.125
m21,Kol,Kun,0.25
m21,Kol,Kur,0.5
m21,Kol,Mal,0
m21,Kol,Mei,0
m21,Kol,Mif,0
m21,Kol,Mik,0
m21,Kol,Ntm,0
m21,Kol,Ntr,0
m21,Kol,Tam,0
m21,Kol,Ten,0
m21,Kol,Tot,0
m21,Kol,Trt,0
m21,Kun,Aka,0
m21,Kun,Ako,0
m21,Kun,Anz,0
m21,Kun,Coc,0.0625
m21,Kun,Har,0
m21,Kun,Hen,0
m21,Kun,Hot,0
m21,Kun,Kil,0.125
m21,Kun,Kit,0.0625
m21,Kun,Koh,0.125
m21,Kun,Kol,0.25
m21,Kun,Kur,0.5
m21,Kun,Mal,0
m21,Kun,Mei,0
m21,Kun,Mif,0
m21,Kun,Mik,0
m21,Kun,Ntm,0
m21,Kun,Ntr,0
m21,Kun,Tam,0
m21,Kun,Ten,0
m21,Kun,Tot,0
m21,Kun,Trt,0
m21,Kur,Aka,0
m21,Kur,Ako,0
m21,Kur,Anz,0
m21,Kur,Coc,0.125
m21,Kur,Har,0
m21,Kur,Hen,0
m21,Kur,Hot,0
m21,Kur,Kil,0.25
m21,Kur,Kit,0.125
m21,Kur,Koh,0.25
m21,Kur,Kol,0.5
m21,Kur,Kun,0.5
m21,Kur,Mal,0
m21,Kur,Mei,0
m21,Kur,Mif,0
m21,Kur,Mik,0
m21,Kur,Ntm,0
m21,Kur,Ntr,0
m21,Kur,Tam,0
m21,Kur,Ten,0
m21,Kur,Tot,0
m21,Kur,Trt,0
m21,Mal,Aka,0
m21,Mal,Ako,0
m21,Mal,Anz,0
m21,Mal,Coc,0
m21,Mal,Har,0
m21,Mal,Hen,0
m21,Mal,Hot,0
m21,Mal,Kil,0
m21,Mal,Kit,0
m21,Mal,Koh,0
m21,Mal,Kol,0
m21,Mal,Kun,0
m21,Mal,Kur,0
m21,Mal,Mei,0.125
m21,Mal,Mif,0.25
m21,Mal,Mik,0.5
m21,Mal,Ntm,0
m21,Mal,Ntr,0
m21,Mal,Tam,0
m21,Mal,Ten,0
m21,Mal,Tot,0
m21,Mal,Trt,0
m21,Mei,Aka,0
m21,Mei,Ako,0
m21,Mei,Anz,0
m21,Mei,Coc,0
m21,Mei,Har,0
m21,Mei,Hen,0
m21,Mei,Hot,0
m21,Mei,Kil,0
m21,Mei,Kit,0
m21,Mei,Koh,0
m21,Mei,Kol,0
m21,Mei,Kun,0
m21,Mei,Kur,0
m21,Mei,Mal,0.125
m21,Mei,Mif,0.125
m21,Mei,Mik,0.25
m21,Mei,Ntm,0
m21,Mei,Ntr,0
m21,Mei,Tam,0
m21,Mei,Ten,0
m21,Mei,Tot,0
m21,Mei,Trt,0
m21,Mif,Aka,0
m21,Mif,Ako,0
m21,Mif,Anz,0
m21,Mif,Coc,0
m21,Mif,Har,0
m21,Mif,Hen,0
m21,Mif,Hot,0
m21,Mif,Kil,0
m21,Mif,Kit,0
m21,Mif,Koh,0
m21,Mif,Kol,0
m21,Mif,Kun,0
m21,Mif,Kur,0
m21,Mif,Mal,0.25
m21,Mif,Mei,0.125
m21,Mif,Mik,0.5
m21,Mif,Ntm,0
m21,Mif,Ntr,0
m21,Mif,Tam,0
m21,Mif,Ten,0
m21,Mif,Tot,0
m21,Mif,Trt,0
m21,Mik,Aka,0
m21,Mik,Ako,0
m21,Mik,Anz,0
m21,Mik,Coc,0
m21,Mik,Har,0
m21,Mik,Hen,0
m21,Mik,Hot,0
m21,Mik,Kil,0
m21,Mik,Kit,0
m21,Mik,Koh,0
m21,Mik,Kol,0
m21,Mik,Kun,0
m21,Mik,Kur,0
m21,Mik,Mal,0.5
m21,Mik,Mei,0.25
m21,Mik,Mif,0.5
m21,Mik,Ntm,0
m21,Mik,Ntr,0
m21,Mik,Tam,0
m21,Mik,Ten,0
m21,Mik,Tot,0
m21,Mik,Trt,0
m21,Ntr,Aka,0
m21,Ntr,Ako,0
m21,Ntr,Anz,0
m21,Ntr,Coc,0
m21,Ntr,Har,0
m21,Ntr,Hen,0
m21,Ntr,Hot,0
m21,Ntr,Kil,0
m21,Ntr,Kit,0
m21,Ntr,Koh,0
m21,Ntr,Kol,0
m21,Ntr,Kun,0
m21,Ntr,Kur,0
m21,Ntr,Mal,0
m21,Ntr,Mei,0
m21,Ntr,Mif,0
m21,Ntr,Mik,0
m21,Ntr,Ntm,0.5
m21,Ntr,Tam,0
m21,Ntr,Ten,0
m21,Ntr,Tot,0
m21,Ntr,Trt,0
m21,Tam,Aka,0
m21,Tam,Ako,0
m21,Tam,Anz,0
m21,Tam,Coc,0
m21,Tam,Har,0
m21,Tam,Hen,0
m21,Tam,Hot,0
m21,Tam,Kil,0
m21,Tam,Kit,0
m21,Tam,Koh,0
m21,Tam,Kol,0
m21,Tam,Kun,0
m21,Tam,Kur,0
m21,Tam,Mal,0
m21,Tam,Mei,0
m21,Tam,Mif,0
m21,Tam,Mik,0
m21,Tam,Ntm,0
m21,Tam,Ntr,0
m21,Tam,Ten,0
m21,Tam,Tot,0.25
m21,Tam,Trt,0.0625
m21,Ten,Aka,0
m21,Ten,Ako,0
m21,Ten,Anz,0
m21,Ten,Coc,0
m21,Ten,Har,0
m21,Ten,Hen,0
m21,Ten,Hot,0
m21,Ten,Kil,0
m21,Ten,Kit,0
m21,Ten,Koh,0
m21,Ten,Kol,0
m21,Ten,Kun,0
m21,Ten,Kur,0
m21,Ten,Mal,0
m21,Ten,Mei,0
m21,Ten,Mif,0
m21,Ten,Mik,0
m21,Ten,Ntm,0
m21,Ten,Ntr,0
m21,Ten,Tam,0
m21,Ten,Tot,0
m21,Ten,Trt,0
m21,Tot,Aka,0
m21,Tot,Ako,0
m21,Tot,Anz,0
m21,Tot,Coc,0
m21,Tot,Har,0
m21,Tot,Hen,0
m21,Tot,Hot,0
m21,Tot,Kil,0
m21,Tot,Kit,0
m21,Tot,Koh,0
m21,Tot,Kol,0
m21,Tot,Kun,0
m21,Tot,Kur,0
m21,Tot,Mal,0
m21,Tot,Mei,0
m21,Tot,Mif,0
m21,Tot,Mik,0
m21,Tot,Ntm,0
m21,Tot,Ntr,0
m21,Tot,Tam,0.25
m21,Tot,Ten,0
m21,Tot,Trt,0.0625
